Category	Descript
bug	Tried on a few devices ranging from android 4 to the latest 6.0.1. Will NOT stop freezing during initial commercial break.
bug	WE ASKED TO REPAIR THEM AND THEY TOLD US TO CHANGE ROOM...
other	Then you can share.
bug	The app has been so glitchy of late.
bug	Pool area as well as beach area can be a bit noisy at times (lots of jetski activities close to beach)
other	I honestly loved our stay here in every way.
bug	Even the smallest of all bank in India gives far more app than this one ....
bug	it needs much tweeking.
other	Would go back again any time.
other	jar
bug	Instead of download this app use of camera is good in fact much better option.
other	Location was fabulous, room was so comfortable & staff were knowledgeable & friendly
request	I really like it but I wish you can "re-unsend"(I dont know how to say it) the messages that u send by mistake...
other	I really like it but I wish you can "re-unsend"(I dont know how to say it) the messages that u send by mistake...
other	Some drives me mad lol overall I like it.
bug	there is no special program for party and dancing in the hotel , there is a smal part in nikki beach and only one DJ was playing music only for 5 or 10 person .
other	This was a mixed business and pleasure trip and as Marriott brand loyalists, while we would normally stay at a larger business focused property, we decided to stay at the Cotton House.
other	We are visiting the MO Barcelona for the second year in a row in June.
bug	made the floor always look dirty and depressing for a holiday spot.
bug	New release is a backward step.
bug	Spa very expensive as well (Half of the room price is too high for the region)
other	This is a tool that you (hopefully) will rarely need.
undetermined	Requested ice bucket 3 times
other	I stayed there 4 nights with my wife.
bug	I really love my inspire but with the damage htc sync is doing to my computer it leaves a sour taste.
bug	I really love my inspire but with the damage htc sync is doing to my computer it leaves a sour taste.
other	Completely remodeled property...
bug	I don't feel like the seller tried to resolve the issue either just telling me what i should do even after telling them i still have not received my package.
other	I am skeptic with this king of tool but I was wrong.
other	Very well thought out space planning.
other	Loved the images of scuba divers on the walls of the hallway.
bug	* no option to hide a conversation * old chats are shown in the list with the last line of text, but after opening them there is no text shown in the text * cannot share content to skype from other apps (gallery, browser, etc.)
other	My hubby and I have so much fun seeing who can say the word out loud, first.
bug	Skype 8.0 is totally a downgrade.
other	We have stayed in both interior rooms and rooms on the street side of the hotel.
undetermined	Firstly being forced to download the app to watch a programme.
request	HOW TO DUMP BIOS ???!!
other	I prefer to print my boarding pass in a pdf file.
other	For a free program, it is excellent, does unlock files to be closed or deleted.
bug	Could be a great (All in one Video Downloader/Converter/Editor) but very poor design , does not work properly!
other	Some are easy and some you have to take a few seconds to think.
other	Ryanair changes their sitting algorithm to sit parties apart to pitch them their paid sitting upgrades.
other	its works well in my laptop
other	downlaod best ip servers to openall blocked apps and login to all banned sites on line via using waselpro free proxies
other	Room was luxurious, A/C was amazing, nice touches throughout and super clean.
bug	Beds a little hard & pool food menu isn't the best, could have more variety!
bug	For a simple Video Editor it in not intuitive and requires too much time to learn basic functions.
other	Outstanding hotel with perfect service, most polite staff and great restaurants.
request	please send me the unlock code (15digit numbers)
other	thats a fact you dont like go away!!!!!!!!!!!!!
other	Casa Camper has perfect beds, pillows, bathroom with powerfull shower and good towels.
other	Note the one in particular whereby when you highlight a word or phrase in an email for example and then hit the Copy button a small Translate icon appears in the top right-hand corner giving access to a pop up with the translation.
other	The Peninsula in Paris is definitely right up there with the other super prestige hotels of Paris.
other	I can't resist going thru the WHOLE entire pages of selections.
other	really good add-on but they need to get better servers
bug	really good add-on but they need to get better servers
other	Excellent hotel and staff are very attentive.
bug	Installers are very large.
bug	It not only removes singer but most of song
other	Kinda spooky how fast and easy it went.
other	Fantastic!
other	Bar and room service close at 0300
other	Olivo restaurant on site very good, though service was poor due to multiple bookings for RC confirmation parties!
bug	Olivo restaurant on site very good, though service was poor due to multiple bookings for RC confirmation parties!
bug	It's not bad but whenever I'm translating something from Marathi to any other language I shouldn't have to see "Translate from hindi" as a suggestion in the bottom coz I checked & it doesn't show "Translate from Marathi" as suggestion in the bottom when you translate something from hindi.
request	Where's sms?
other	It's not a high end hotel rather just a nice middle of the road hotel.
bug	Not as customizable as Firefox
other	We planned for a tour of Prague, while we were recommended a tour, we were told that the tour included entry tickets to the sights like the palace or the Jewish quarter, it wasn't so.
bug	We planned for a tour of Prague, while we were recommended a tour, we were told that the tour included entry tickets to the sights like the palace or the Jewish quarter, it wasn't so.
other	I wanted to test if this is true by writing quite a long review with more words than I ever would have thought of writing.
other	We were pleased to stay at this hotel which is just yards from Cork airport's terminal.
bug	Only negative: our room had a mouldy smell.
bug	The absolute worst media player you will ever find, on any platform.
other	The staff and management : excellent
other	it should have drag & drop feature
other	But I had used it before I reinstall my windows vista system.
other	Nice and quiet.
other	Loved my stay!!!
other	You have to disconnect your business account and go personal, then delete the Facebook share settings then log back into Facebook through Instagram, then once again configure the share page you want your photo shared too, then convert back to a business account!!!
other	Over the Horizon because my phone is new.
bug	I had spiders and cobwebs in the toilet, shower drain had mould, the room had an ant infestation and under the bed there were pistachio shells.
request	i hope there is more encyclopedies.
other	I liked it.
other	This is best one, I have ever found.
other	Not very good prosecco/warm, my Michael Collins tasted like pure lemon but the waitress kindly replaced mine and I was not charged for it so it was handled very well.
bug	Not very good prosecco/warm, my Michael Collins tasted like pure lemon but the waitress kindly replaced mine and I was not charged for it so it was handled very well.
other	It was not listed as a hostel when we booked, but it definitely is.
other	This so is amazing, and keeps getting better!
bug	Shocking add would give -5 if i could disgraceful nothing done to fix this...
other	Only used to see flight so not sure if everything works.
other	It is easy to get around + ITS FREE!
bug	Lack of order when going for breakfest just poorly managed
bug	Nobody download it.
other	Beautiful default interface
bug	Got several confirmation emails.
other	I just love playing this game.
request	My suggestion change better pictures.
other	Location is perfect.
bug	What a load of crap, have to watch an ad each time it crashes.
bug	What a load of crap, have to watch an ad each time it crashes.
bug	Plz fix this
other	Very clean.
other	i like this
bug	earlier i use to play video on KMPlayer, but from last 1 year it become outdated with lots of lags.
other	The hotel and rooms are elegantly appointed and designed, modern styles and bathrooms.
other	Rooms were nice, modern, with contemporary design cues.
bug	Disgusting new layout!
bug	It's a shame the transfers aren't complimetary considering how much you spend on accommodation here.
other	The service was very good friendly and patient.
other	The hotel is excellent if you like small boutique style.
other	Wonderful AC cooling during the day, and the heat was great for the evening.
request	Sugguest for the owner to install more fans.
other	The hotel appears to have been discovered by tour operators.
bug	Extraordinarily disappointed.
other	A clean, comfortable room in a decent neighborhood at a reasonable price is what I hope for when I travel.
bug	The holder for the shower nozzle was low, so to wash your hair you either had to bend low or use only one hand to rinse while holding the nozzle with the other hand.
bug	Just downloaded it and it crashed 4 times on me in less than 3 minutes...
bug	Breakfast pictures looked much better than in reality.
bug	THE LIGHTS IN THE ROOM DIDN'T WORK.
other	Short walk to the Barcelona cathedral, as well as old town and other classic Barcelona neighborhoods.
bug	But the problem is, after a few weeks of having it installed on my tablet, the app started to close on itself a few seconds after I opened it.
bug	I understand it may be ur policy for safety reasons to have locked windows in rooms on higher floor but it's a pity I cannot open the window to a small degree to access fresh air especially during the night.
other	I received an email saying that my booking was incomplete.
bug	I received an email saying that my booking was incomplete.
other	The rooms are all unique, and well laid out - although the switches are a bit complicated with no hotel directory to explain things.
bug	The rooms are all unique, and well laid out - although the switches are a bit complicated with no hotel directory to explain things.
other	Breakfast was a very good value.
bug	The rooms seemed unfinished, walls were artless and plain..
other	The staff were great...
other	Fabulous location.
bug	I had to uninstall the app on my phone and reinstall it because of storage and space issues.
other	Good and easy for use freeware program.
bug	The rooms are poorly sized and apportioned, lacking sufficient towels and no complimentary water.
other	it is great and I want Conflict Global IIII.
bug	I was pretty unfortunate and was there with milions of elderly tourists, who were queueing up for coffee etc.
bug	download takes forever:
other	To begin with the location is great as the hotel is situated between the Eiffel Tower and the Arc de Triomphe --- you are able to walk to both easily.
request	Wish there could be a saving point like every five battles.
other	Just great all around!
bug	i cannot open this game.
other	Amaaaazingly great shower pressure, overall spaciousness with lovely views of the neighbourhood street below.
bug	Staff at reception were not much help, we were not even asked how our stay was at check out
bug	This is THE most problematic program on my PC and it's developed by Microsoft themselves!
bug	-There was a bad smell in the toilet.
bug	Attention to detail was lacking all round.
other	Nothing
other	the location ..
other	I am hoping that it will be really useful on my trip to Vietnam, Cambodia (not supported yet), and Thailand this summer.
other	Partial list of important new features:
other	A good stand in for Corel 8 and Photo Paint 8 not being able to use in the new vista which stinks.
bug	A good stand in for Corel 8 and Photo Paint 8 not being able to use in the new vista which stinks.
other	The Hotel was beautiful!
other	The best of all pdf viewers there is.
other	excellent
other	This is the second H10 hotel I have statyed in and it never let me down.
bug	Few years ago I've got excited about the updates, they did a great job, but now they making big mistakes.
other	Desktop calendar is quick to install, easy to use.
other	All good.
bug	Also it keeps making itself default browser.
bug	The landscape near pool in front of room not well maintained.
bug	Fix it and I'll review it.
other	The garden area was likewise very pleasant and overall the lobby, dining and lounge areas were very cozy.
other	this hotel has a perfect location.
bug	This is awful...
other	A little bit hot if you stay in the back side and the sun shines almost all time.
request	I'd love to see more patterns and random events in future updates, and potentially more things to spend coins on as well.
other	Its the best dbz mugen game i'hv ever played
other	The hotel was so big that it was so hard to find our room, we got lost quite a few times lol.
bug	The hotel was so big that it was so hard to find our room, we got lost quite a few times lol.
bug	Been a month now and still no package.
bug	Overall the service is not good at all.
bug	The restaurant looks like a school canteen, the food - likewise.
bug	The facility is not so kids friendly no free water or some sort for the kids like in westin which is just next door.
other	Just because it is "FREE" I give this 9/10* (worth the download)
other	After another 20 minutes I went down and almost forced receptionist to "organise" this order.
other	Nothing bad to report- everything was great!!!
other	awesome
other	www.moovida.com
other	very very fantastic software in our industry level.
other	Skype is just for calling, you have a billion people who use Skype.
other	50 metres from MACBA and the Rambla.
other	sims 2 is a very good game.
bug	Itools did not detect my IPhone SE, , tried 3 USB connections, inluding back.
other	I don't care.
bug	The superior room was horrid, chips on the floor from previous guests and noodles in the bathroom.
other	Slow service; staff were eager to offer help, but it was slow in coming.
bug	Slow service; staff were eager to offer help, but it was slow in coming.
other	OMG!
bug	every time i had a shower i would gag as the smell from the sowers would come up and i just hated getting in there a shower wasn't a nice experience at all i used to dread having a shower my husband felt the same as me.
other	I'm back to normal.
other	I like the program idea but i searching a program for CREATE a windows 7 theme to patch and no a patcher
bug	I like the program idea but i searching a program for CREATE a windows 7 theme to patch and no a patcher
other	My girlfriend and I stayed 3 nights and loved it.
other	Le Bristol is a long established and much celebrated palace hotel for good reason: absolutely top drawer stately accommodations that are immaculately kept, superbly run, unmatched cuisine and a noble setting.
other	This modern hotel in a good location close to Rambla de Catalunya is managed extremely well.
other	Jing is fast and adequate screen capturing soft.
other	The hotel is within walking distance of Las Ramblas, the Picasso museum and the the marina area.
bug	The movements of the fidget don't work like a real fidget
bug	not scanning into PDF but only image formats.
bug	Expensive for the quality of hotel.
other	There is no winning, losing, or ending to it.
other	The breakfast buffet was amazing with a great variety.
other	Brilliant as always, a fantastic app, making electronic life so much easier, well done!!!
other	Or I guess we'll just all have to move to Discord.
other	it is brain teasing game
other	the omly best thing that still stands out is fifa soccer world cup
bug	I'm getting notifications of messages but they aren't showing up in the message thread until hours later so I've uninstalled and reinstalled the app only to now be unable to link Twitter or my Facebook business page.
bug	I'm getting notifications of messages but they aren't showing up in the message thread until hours later so I've uninstalled and reinstalled the app only to now be unable to link Twitter or my Facebook business page.
bug	Used to be great - now it gives a US IP address.
other	I love this game.
other	The game moves along smoothly.
other	They are amazing to work with and such impeccable customer service is one of the reasons I continue to order.
other	The bed was extremely comfortable but as we were in the older part of the hotel the floor was very off level which made us feel we were staying in a room in a crooked house...
bug	The bed was extremely comfortable but as we were in the older part of the hotel the floor was very off level which made us feel we were staying in a room in a crooked house...
undetermined	Deleting and printing boarding passes
other	On a positive note we were very thankful to have extended use of the pool bar area that night.
other	AIB app also doesn't look like it was developed for Android 2.1
other	It is always at the top 3 , so I would like to give a try.
other	Best tip I ever got from a stranger.
other	The building itself is historic and the roof top deck and pool are to die for.
bug	waste software, not working properly.
other	Prague is a quite lively city and some muffled noice carry to the first floor quite late into the night
other	Hotel le Six is a very well run hotel that is perfect for a short stay.
other	I don't know what this is....
other	The Hotel Do is an oasis in a beautiful but busy city.
other	Room superb.
bug	I would prefer thicker and firmer pillows instead of flat pillows.
bug	Even the security officers were not able to stop the noisy adults from partying every night in their rooms with loud music.
bug	We arrived hotel at 9:00PM, paying the same price for buffet dinner, but, many dishes were empty and staff serving at cooking station was not there.....
bug	there was no shower curtain up on arrival to the room .
bug	second time booked a classic room first time not a good experience either air conditioning plant outside window
bug	The bathroom was really old and unfresh.
other	The staff were the consummate professionals, friendly and were at pains to make sure that all our needs were met.
bug	The shower in our room didn't work and the rooms where to hot and we could not alter the temperature as it was centrally controlled.
bug	However it does require upgradation.
other	one of the best war games :)
other	Good large bed and cousy studio office.
other	Our room looked onto a picturesque square and the bed was comfortable.
other	The ventilation in the living room.
other	Where to start with our fantastic stay.
other	Not for instant gratification.
other	The location is perfect.
bug	The hotel needs a serious renovation.
other	Thank you.
other	I always use it, I mean I use it everyday ,cause
other	Can't recommend highly enough
other	Not executed to its full potential but for what it's worth you've made a game out of a useless pokemon.
bug	Not executed to its full potential but for what it's worth you've made a game out of a useless pokemon.
bug	We didn't really like blonde lady at reception..
other	When the orders finally arrive it's a nice surprise because took so long!
other	We stayed here for 2 nights on our way to Nice for a wedding.
other	First impression of the hotel was very good.
other	Euro 30 from airport by taxi.
other	I was taking some cheese with me when I flew the next morning and ended up leaving it overnight on the window sill by the open window to keep it cool!
other	They accommodated us early which i really appreciated as we came in on a red eye from Atlanta.
request	I want to down-lode torrent file from flash get.
other	I didnt like to go back home as it was so good.
bug	The power points were in odd locations, especially when trying to use the vintage jug supplied.
other	The staff was just delightful with a smile on their face all the time.
bug	Agree with [name]: this +170MB 10.1.3 version, after my recent (June 2012) update programme does not display properly on my XP based PC, showing parts of my desktop screen.
other	Staff at at the check in was good and happy to assist and accommodate where possible.
bug	Extremely frustrating process to download, eventually the download took 3 days!!
other	We stayed in The Brummell in May 2017, we had two different room during our stay, the Brummell Classic and the Penthouse.
other	Preferring a more boutique hotel experience for part of our stay in Paris, I came across Maison Souquet.
other	Excellent location to explore La Ramblas and the gothic quarter.
other	so good.
bug	I've tried everything the forums have suggested as well as reporting it, but no response from IG Totally ruins IG for me.
other	What a gem.
other	don't listen to them they are Lieing.
other	wow what amasing i download manager, very fastastic i like it
other	Fast access to be able to buy all extras.
bug	They should leave the designing of apps to Android designers.
bug	The new update butchers and removes so many features.
bug	Sad as I used to love this site.
other	I've got friends asking me why I was last seen online on Viber at like 4 a.m.
other	when it failed on 64 bit to bring up the Apache admin, I installed it on a small 32 bit laptop, which worked fine.
bug	when it failed on 64 bit to bring up the Apache admin, I installed it on a small 32 bit laptop, which worked fine.
bug	This was very disappointing compared to other radisson blu fitness facilities I have stayed in.
bug	* Required so much user interface.
bug	Now it's full of scrap, and I am really upset that I just have to use it further.
other	- Separate Color for Each control/switch/func. etc
other	We are not stupid people so you can draw your own conclusions of what she was up to.
other	Also....
other	I didn't notice further hangups like IE 8. frequently does.
other	Location is superb and easy access to parking underground is a major advantage
other	I absolutely loved it!!
other	The staff was friendly and most helpful.
other	Im constantly oooing & aaahhhing & getting my family to look at this & that until they started to make their long list requests.
other	We were looking for something cheap, and found this place.
other	I wasted time trying out other software.
undetermined	When we tried to check in, the only room available had one queen size bed and a recliner.
bug	And no more split screen functionality?
bug	No minibar and bathroom was tiny.
other	And if it comes later you get to keep it as an apology.
other	The reputation of this hotel creates the highest expectation from its customers and does not disappoint.
other	We were put in the old wing of the hotel.
bug	Installed and doe NOT open.
other	excellent
other	The staff is very helpful, the roof top bar and pool are amazing, and the rooms are nice but a bit small.
bug	Even worse than the tiny room was the mound refrigeration unit outside my windows which meant I could not even open a window.
other	for few more bucks you can get a better hotel, this one is very small cosy and comfort
bug	mini frig was a little noisy.
other	I came here for a 2night stay and perfection does not even begin to describe it.
bug	This program has not saved anything ever.
bug	TOO MANY ADS, makes the game boring and frustrating.
other	Awesome app and fun!
bug	It is not up to the hotel standard and we were disappointed with the old school style and problems.
other	This is a courtyard style hotel laid out in a large triangle, and you can enjoy a little bit of nature in the courtyard.
bug	It is noisy and a bit dusty at breakfast
other	They only had two.
bug	Very very frustrating.
request	Water pressure in the shower and full control of the AC would be nice.
bug	Borders should have a distinct colour, like magenta or something so they are readily discernible.
other	Cool game!
other	PS: The housekeeping team will help to put the mosquito coils around the living and dining room every evening which is wonderful service on top of the turn down of beds and mosquito netting for the beds.
bug	Half of the functionality is gone, it's ugly and hard to use.
other	However they are very friendly.
bug	When i try to transfer Wi-Fi passwords or something else in basic info it says no storage avaliable please deselect some basic items and it is kinda annoying please fix that and i will give 5 star
bug	When i try to transfer Wi-Fi passwords or something else in basic info it says no storage avaliable please deselect some basic items and it is kinda annoying please fix that and i will give 5 star
other	It's a decent program, although it's compatibility makes it so that friends with newer Windows OS systems cannot use this program.
bug	It's a decent program, although it's compatibility makes it so that friends with newer Windows OS systems cannot use this program.
other	This is one of our favourite places in the world and whilst now living in New Zealand when deciding on a place to celebrate my 60th birthday there was no where else I wanted to go.
other	rhats super softwear in the internet
other	The game has been around for now.
other	Location is very central--- right in front of Corte Ingles and walking distance to La Rambla and Passeig de Gracia.
other	Well...
other	Couldn't do enough for us to make our stay as comfortable and as lovely as possible.
other	If you are visiting Paris, you likely will search hotel reviews like I did to make a decision.
other	mudasarahmad28
other	Everything about our stay was perfect.
other	Loved our stay at Grand Hotel Central.
bug	The lack of balcony in upper rooms deflates the overall comfort, as well as some empty rooms and halls downstairs.
other	Nice room.
other	other than that it was very good.
other	It is very helpful to me because it's contained all the files that were missing
bug	There was no whirlpool, and talking to a few guest it seemed that they got there room for a fraction of the price
other	The location is perfect, i really liked the terrace such a beautiful view from the top!
other	The room was extra comfortable.
bug	They was not even a Gin & Tonic possible.
other	Its very addictive and you never ever get bored of it, honestly.
other	Staff were always very helpful and would go above and beyond.
other	This is a chic, sleek, classy boutique hotel in a beautiful area of town.
bug	Drinks in room fridge weren't cold.
other	However, that is part of its charm.
other	[name] made the recommendation.
bug	Lots of noise like loud music, being woken up by noisy guests etc disturbed our relaxation a bit....
bug	I downloaded it, played a browser game for 5 minutes/CRASH!
other	fastest ever
other	Best video editing software for free!
other	I have it set to go get mail from all kinds of sites and RSS feeds.
other	It is free.
other	Great location.
bug	It's sad to say we left this property feeling very disappointed.
other	It an good tool to sync music,video,playlists, etc.
bug	All I've ever seen on this is adverts.
other	It was a large property which meant that things were hard to find and easy to get lost.
bug	It was a large property which meant that things were hard to find and easy to get lost.
other	And that the sun is the cogwheel for the settings!
other	I enjoy using this on Messenger and Facebook, makes my comments and messages more lively.
request	Bring the old version back!
bug	Bring the old version back!
bug	a bit far from city center, need to take public transport if you don't travel with a car.
bug	Waste of time.
other	We realise these things need to be done though, so no problems really.
other	This hotel met every expectation, small, elegant, cozy, Chic and great customer service.
other	Counter-Strike: Condition Zero is cs:1.6:D
bug	Deleting the app.
other	hi
other	This hotel is fantastic standard and can't do enough for you, the standard is very high.
other	Haihaisoft Universal Player is a nice free alternative to Windows Media Player adding extra codecs for added features, with a nice clean interface that resembles Windows Media Player.
bug	That breakfast wasn't included in the price quoted.
other	does this cause a virus on a laptop
other	1. It does NOT install ANYTHING but it self!
other	Simple but Clean and confortable room.
other	Situated in a quite and nice street, the Hotel is just a short walking distance from the main museums and parks.
other	Please take this advice from a user and put it to good use.
other	The best OS so far.
other	Good view from terrace restaurant.
other	except to rate it...
bug	I am not satisfied, because you have not any info about the system requirements.
other	Amazing !
bug	Device overheats when using.
bug	Device overheats when using.
other	But overall really good game, even though the concept is super stupid, it is super fun.
other	We were only in Paris for one night and stayed at La Chambre du Marais.
bug	It look worst.
bug	Road to seminyak main street is too dark.
other	Believe me, that game is magnificent.
other	Resorce hacker is cool and it helped me with managing Explorer.exe (changing text).
other	We were there for our wedding week- we got married in nearby Taman Bhagawan.
other	Looking forward to some great deals going forward.
other	Overall this hotel was nice.
bug	This game starts up properly, but after only a few seconds it crashed.
bug	Finally, on checkout, they could not produce an invoice and promised me that I would receive one by email but I had to call and email to see if I can receive a copy of my invoice.
other	love it
other	TERRIBLE all of theses comments are TRUE
bug	The restaurant didn't open until 10:00am for breakfast.
bug	A very small niggle was having to get our room keys reprogrammed a few times to get access to our room.
other	Offered a glass of fizz each while we checked in.
bug	Somehow manages to annoy me every site I go to.
other	gooood
other	Love everything I've received so far.
request	Your review's pretty short - tell us more about this program.
other	Works totally independent to you fb on your pc, delete or hide post on here and then see them on your web based version.......
other	Best Game in many years: and here is why:
other	The software allows me to simply extract good email leads from different websites and also with help of keywords.
other	Before Barcelona I stayed Madrid and I lost my jackets , my wife as well.
other	We kicked off our European honeymoon with a three-night stay at Hotel 1898 in late May 2017. Overall, the property is fantastic.
other	Good price.
bug	Facilities were old.
other	I was celebrating my birthday and the team had put a cake a card in my room which was such a lovely thing to do.
other	The staff was wonderful and the hot breakfast was good and different on the two days be stayed.
bug	The room was badly designed; from lighting, to positioning of switches to the finishings, it's not well laid out and thought through.
other	Arrived to H10 metropolitan and were instantly happy with the choice we made.
other	bar area ok
other	Everything I read in the reviews was accurate.
bug	someone should have replied to our request.
other	The stone floor of the entire hotel and rooms painted in glossy black paint!
other	being a realist we know many posts are less than truthful.
other	Im aware how long hong Kong shippints takes and order parts from there regularly.
bug	No kettle in the room.
other	you can also track each item from the app..
other	Haha!
other	I sync my htc contacts with outlook ones.
other	Can be a little challenging on some levels while others aren't so challenging....
other	Guess this may be goodbye applike People wanting a replacement applike add Dre Zengarta on facebook and ill give you a invite code to gift panda, payout is great guys and unlike app like you get Paid on friends friend, 10percent on direct, friend 5 percent on friend, friends.
other	unfortunately without ironing board.
other	This best media player night vision only.
other	Look at the fitness centre, its equipment dates back to the 20th century!
other	This is a small luxury hotel overlooking Las Ramblas in the heart of Barcelona.
bug	-When you play this game, you know immediately, its a free game.
other	It is super fun and addictive.
other	But you should have it handy or at least know about it!
other	How about elder people like my 86 old mom, for example?!
bug	Lots of mosquitos when sitting outside by room and pool.
bug	I've stayed at other Sofitel resorts around the world, this property damages the brand.
other	Program does a reasonable job - easy to use
other	Exceptionally clean.
other	The beds and pillows are extremely comfortable.
other	man photos heir style makings as your wish
other	Great App!!
other	This was the only negative, which to be honest, was not much of a negative.
bug	i left my shoes at the hotel, when i went back to get them, they told me they could not find them.
bug	I have 32GB left yet it says not enough storage.
other	Enjoy the game.
request	Od you're gonna try and reinvent skype at least let the people who loved the old version go back to it!
bug	Od you're gonna try and reinvent skype at least let the people who loved the old version go back to it!
other	Not a bad stay for $60 but doubt we will be back.
bug	If these kinda updates continue then doom's day is not far away skype.
other	Aside from watching at my convenience I like that the have such new and interesting content and not regurgitated cop shows and reality tv.
request	Needs more control s and tricks..
other	5 night stay in Barcelona for the first time.
other	Couldn't be happier with our stay.
bug	I used to get the occasional ad (once a month maybe) and didn't mind it much, I would either hide it or block it, however since the recent update I'm bombarded by them.
bug	expensive food and drink and the basic standard rooms are poor, would need to upgrade
other	Our family of five (two parents and three kids in their early twenties) stayed in two rooms for four nights in late May.
other	So quiet.
other	The Front desk was very friendly.
bug	It won't even come up when I tap it.
bug	One elevator of the two never worked and never appeared to be under immediate repair.
other	Very nice and helpfuff staff.
other	Its alright when you're connected to WiFi or mobile data, but, if you can't connect the you can't listen to songs unless they were already playing, because its connected to SoundCloud, which obviously needs a connection to work
other	We friend and I stayed here on a girls trip.
other	Best game ever
other	It Work,
bug	Extremely weak signal for wi fi , very annoying situation.
bug	Apparently the app isn't compatible with Android...
other	Room was beautiful but on the small side.
bug	Room was beautiful but on the small side.
other	Wow, it is good, I can save many photos as I want.
other	The staff were all very helpful and courteous.
other	if you have patience i recommend this app
other	Ok, having traveled all over the world, you get used to what I would call the normal Hotel accommodations.
other	A great sonic fan game in development, it's pretty fun and user-friendly
other	I've started recently downloading music from beemp3.com and sometimes the suffix is .mpga
other	The service at La Tamise was impeccable!
other	easy lay-out, perhaps a bit too sober and short for older people.
bug	easy lay-out, perhaps a bit too sober and short for older people.
other	The customer service I found amazing.
bug	I'm glad everything worked to Sweden, but now it all failed.
bug	This app is absolutely terrible.
other	The best place we stayed during our month long trip to Spain.
bug	Our room was a little generic and the desk area hung too far into the room.
other	Love your money, try out something else!
other	scroll down.
other	when we complained the manager gave us a free meal at the beach bar but we would have rather a nice clean room.
bug	when we complained the manager gave us a free meal at the beach bar but we would have rather a nice clean room.
other	I live in LA, and it helps me keep in touch with my best friend in Montreal.
other	The rooms are small but comfortable and very well appointed with the best in French technology.
other	This is one of the longest app I used and the updates keep surprising me..
bug	Hotel eas not so full, but they give me a very bad room it the behind of the building very bad room for this rate..
other	Finally I could send good 100 photos by mail (in 5 minutes).
other	unity is good for hl2 devolpers i like unity is very good and cool
bug	I'm a dedicated Skype user, and I don't like this new addition at all, in fact, I detest it.
other	Breakfast was ok.
bug	It's VERY deceptive, makes you wonder what else the app is lying about
other	I have a brand new lab top.
other	Its an excellent tool for developing apps and applications
bug	It seemed as though we had to walk a kilometer to and from our room just to get to the reception area.
bug	Runtime errors - pciture does not show.
bug	- Bloated installers.
request	How to delete the chat history ?
other	Works fine for managing booking and finding flights
other	I love this game because it make u think keeps u on ur toes great game wish there were less apps though but fun
bug	Ripped off the pool bar.
other	Nice,Cool it`s 3D
other	Frank Ward
other	It picks seats randomly rather than one next to another.
bug	I do not want this service nor do I want to be billed for this
request	Please provide indian food at least twice in a week.
bug	And have to go to specific profiles to see if I've missed things which is unnecessary when it should just be a simple thing to see.
other	The hotel is very centrally located, within walking distance to almost anything you want to see in Barcelona.
bug	Food prices are ridiculously high even for Bali.
other	It was a 100 year old building and now it has been converted to a great Boutique Hotel.
other	Greeted by lovely woman and huge bouquet of lilies in entrance.
other	No bug!
bug	And there is no stroler pathways to the beach.
other	I was logged in this morning and able to access everything.
bug	Room is very small, no natural light comes in from very small window that looks out onto ugly small court.
other	The app is awesome however lately it's been making my photos cropped before I crop them shortly after I snap the pic.
bug	The app is awesome however lately it's been making my photos cropped before I crop them shortly after I snap the pic.
other	The Hotel is directly located in Gran Via, which means, you can reach most of the relevant hotspots by walking only a few minutes.
bug	Why is the logout also hidden that way?
other	Awesome, simple graphics, easy to navigate and all while pulling you in.
other	Can't think of any.
other	Easy to use.
other	I can't really say there was anything we didn't like, I would return to Hevea in a heart beat.
other	Fine to just stay the night...
other	By the way...
other	The location was perfect.
other	The hotel is good for travelling with a child, because there are a lot of parcs near the hotel.
other	LOL
bug	and work on the graphics they doesn't look like real..
bug	Pitty!
other	Only sauna and small swimming pool would have topped it - but probably make the stay more epxensive .
other	Nobody informed me that there are any problems with iron and board.
bug	Staff weren't overly friendly except at breakfast.
bug	Our room wasn't the cleanest especially the bathroom.
other	There are more topics he could have discussed here.
other	i can say with confidence that no any calculator like Age Determine .
bug	I post a picture and it starts alright but after a while it starts to lag.
other	The rooms are immaculate & comfortable, though a bit small.
bug	Picking "my colour" doesn't really add to much.
other	The rooms are all unique, and well laid out - although the switches are a bit complicated with no hotel directory to explain things.
bug	You can not edit pdf files with this program.
other	The staff is very professionnal and attentive and the hotel architecture, design and comfort are absolutely fantastic.
other	An exquisite place
other	On top of that, as she noticed me with small kids, she offered free additional bed at no extra cost.
other	This place is cozy, clean, welcoming and fun.
other	Other than that I hardly have issues.
other	All I did was look at selection of drives that were available for formatting and Wham!
other	It says that it's sharing to my Facebook page with the page title.
other	The hotel is very clean, looks amazing and the shower is incredible.
other	I un downloaded, and re downloaded it to see if that would help.
bug	My main issue was that the room we stayed in did not look as on the photos when i did the booking and it was big disepointment.
other	I really enjoyed reading this review on Haihaisoft universal player, but i have to voice my opinion.
other	What a wonderful hotel.
other	It gives me great result, and most importantly, it does it in batch mode.
other	I really..
other	They were always clean.
other	best action game ever
other	Everyone we met at the hotel was incredibly welcoming and warm.
other	Great print, great search, immediate editing bz many tools.
other	it is a good software to share photos directly to any link
other	Since you are limited to number of diamonds w/o purchasing, I have to play songs repeatedly on occasion in attempt to get enough.
